source_json,image_id,image_file,image_width,image_height,num_annotations,union_mask_area_px,image_area_px,union_coverage_ratio,coverage_mode
coco-merged.json,3,frame_100.jpg,1920,1080,12,312334,2073600,0.150624035,union
coco-merged.json,12,frame_101.jpg,1920,1080,12,226860,2073600,0.109403935,union
coco-merged.json,13,frame_102.jpg,1920,1080,12,165675,2073600,0.07989728,union
coco-merged.json,14,frame_103.jpg,1920,1080,12,182905,2073600,0.088206501,union
coco-merged.json,15,frame_104.jpg,1920,1080,12,258408,2073600,0.124618056,union
coco-merged.json,16,frame_105.jpg,1920,1080,2,80025,2073600,0.038592303,union
coco-merged.json,17,frame_106.jpg,1920,1080,10,318227,2073600,0.153465953,union
coco-merged.json,18,frame_107.jpg,1920,1080,10,256588,2073600,0.123740355,union
coco-merged.json,19,frame_108.jpg,1920,1080,12,316112,2073600,0.152445988,union
coco-merged.json,20,frame_109.jpg,1920,1080,12,363030,2073600,0.175072338,union
coco-merged.json,22,frame_110.jpg,1920,1080,10,244135,2073600,0.117734857,union
coco-merged.json,23,frame_111.jpg,1920,1080,4,143254,2073600,0.069084684,union
coco-merged.json,24,frame_112.jpg,1920,1080,4,157954,2073600,0.076173804,union
coco-merged.json,25,frame_113.jpg,1920,1080,2,78732,2073600,0.03796875,union
coco-merged.json,26,frame_114.jpg,1920,1080,12,208592,2073600,0.100594136,union
coco-merged.json,27,frame_115.jpg,1920,1080,10,221477,2073600,0.106807967,union
coco-merged.json,28,frame_116.jpg,1920,1080,12,257210,2073600,0.124040316,union
coco-merged.json,29,frame_117.jpg,1920,1080,12,246863,2073600,0.119050444,union
coco-merged.json,30,frame_118.jpg,1920,1080,10,282403,2073600,0.136189718,union
coco-merged.json,31,frame_119.jpg,1920,1080,4,155079,2073600,0.074787326,union
coco-merged.json,32,frame_12.jpg,1920,1080,2,16702,2073600,0.008054591,union
coco-merged.json,33,frame_120.jpg,1920,1080,2,104263,2073600,0.050281154,union
coco-merged.json,34,frame_121.jpg,1920,1080,2,119129,2073600,0.057450328,union
coco-merged.json,35,frame_122.jpg,1920,1080,2,104247,2073600,0.050273438,union
coco-merged.json,36,frame_123.jpg,1920,1080,4,96780,2073600,0.046672454,union
coco-merged.json,37,frame_124.jpg,1920,1080,4,121213,2073600,0.058455343,union
coco-merged.json,38,frame_125.jpg,1920,1080,4,207613,2073600,0.10012201,union
coco-merged.json,39,frame_126.jpg,1920,1080,4,110725,2073600,0.053397473,union
coco-merged.json,40,frame_127.jpg,1920,1080,2,185586,2073600,0.089499421,union
coco-merged.json,41,frame_128.jpg,1920,1080,2,216051,2073600,0.104191262,union
coco-merged.json,42,frame_129.jpg,1920,1080,4,171441,2073600,0.082677951,union
coco-merged.json,43,frame_13.jpg,1920,1080,2,24676,2073600,0.011900077,union
coco-merged.json,44,frame_130.jpg,1920,1080,8,193867,2073600,0.093492959,union
coco-merged.json,45,frame_131.jpg,1920,1080,2,157290,2073600,0.075853588,union
coco-merged.json,46,frame_132.jpg,1920,1080,8,226238,2073600,0.109103974,union
coco-merged.json,47,frame_133.jpg,1920,1080,6,158150,2073600,0.076268326,union
coco-merged.json,48,frame_134.jpg,1920,1080,8,142370,2073600,0.068658372,union
coco-merged.json,49,frame_135.jpg,1920,1080,6,92666,2073600,0.044688465,union
coco-merged.json,50,frame_136.jpg,1920,1080,4,76801,2073600,0.037037519,union
