epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.993,1.84857,3.7554,8.54684,1.89477,0.52905,0.52868,0.54783,0.27342,0.56969,0.44665,0.46452,0.15967,1.78129,3.14434,5.68427,1.91495,0.00332977,0.00332977,0.00332977
2,577.375,1.61244,3.09726,5.60776,1.6456,0.70768,0.54272,0.61327,0.30605,0.62132,0.47248,0.4695,0.1832,1.90425,3.29081,4.88112,1.97872,0.00659714,0.00659714,0.00659714
3,844.699,1.64508,3.125,5.46528,1.66255,0.57169,0.45097,0.48037,0.23076,0.53178,0.39843,0.39024,0.15061,2.0272,3.69037,6.37391,2.12578,0.00979851,0.00979851,0.00979851
4,1111.1,1.66607,3.15252,5.46366,1.68924,0.66777,0.59269,0.61357,0.31106,0.59687,0.52046,0.48839,0.19956,1.92057,3.17748,5.28619,2.01286,0.009703,0.009703,0.009703
5,1378.31,1.55674,2.91472,4.62325,1.60281,0.72111,0.62423,0.66373,0.3535,0.6644,0.54515,0.53852,0.22626,1.76189,3.2153,4.78008,1.87316,0.009604,0.009604,0.009604
6,1644.51,1.44678,2.70804,3.96049,1.5167,0.75509,0.66356,0.67171,0.36827,0.68685,0.60199,0.57182,0.24246,1.72707,3.04582,4.27485,1.83586,0.009505,0.009505,0.009505
7,1910.74,1.36813,2.56311,3.54564,1.45306,0.73651,0.62934,0.6689,0.36963,0.69265,0.54969,0.55316,0.23605,1.75931,3.05384,4.16779,1.8819,0.009406,0.009406,0.009406
8,2177.5,1.2929,2.41948,3.17801,1.39734,0.72727,0.68664,0.69463,0.40128,0.72097,0.62691,0.61577,0.28139,1.69218,2.94092,4.02856,1.84417,0.009307,0.009307,0.009307
9,2443.35,1.23243,2.31169,2.9212,1.3499,0.7661,0.66579,0.69008,0.38123,0.74504,0.58104,0.58676,0.26377,1.72851,2.94479,4.20668,1.87594,0.009208,0.009208,0.009208
10,2710.94,1.17931,2.19914,2.73879,1.3136,0.78166,0.64882,0.68233,0.38989,0.70704,0.58262,0.56994,0.26615,1.65498,2.90719,4.14518,1.81305,0.009109,0.009109,0.009109
11,2976.71,1.13141,2.11073,2.55736,1.27599,0.75935,0.67926,0.70363,0.39659,0.74052,0.58525,0.59375,0.267,1.65633,2.91054,3.93179,1.82246,0.00901,0.00901,0.00901
12,3243.19,1.08137,2.02225,2.39436,1.23886,0.73952,0.67592,0.69005,0.39967,0.71975,0.59818,0.60201,0.26642,1.66619,2.94499,3.93244,1.83944,0.008911,0.008911,0.008911
13,3508.91,1.05155,1.96663,2.30529,1.21933,0.77816,0.70493,0.70208,0.40618,0.69878,0.6283,0.61009,0.27705,1.62808,2.87768,3.92722,1.78074,0.008812,0.008812,0.008812
14,3776.37,1.01894,1.89822,2.18999,1.19733,0.7779,0.69595,0.71509,0.40967,0.71458,0.60572,0.60686,0.28002,1.62514,2.95929,3.57302,1.82391,0.008713,0.008713,0.008713
15,4042.44,0.99067,1.84348,2.12022,1.1795,0.7488,0.70032,0.71133,0.41868,0.76365,0.61213,0.63043,0.27953,1.62242,2.92673,3.7665,1.81329,0.008614,0.008614,0.008614
