epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,355.499,1.84023,3.72214,8.30097,1.94831,0.59054,0.4783,0.51099,0.24924,0.52798,0.40925,0.42713,0.15321,1.73972,3.08973,6.02851,1.93103,0.00332977,0.00332977,0.00332977
2,669.256,1.59839,3.07106,5.49439,1.68968,0.61205,0.54353,0.55433,0.28224,0.5934,0.48239,0.47535,0.1793,1.83883,3.3518,5.43452,2.06572,0.00659714,0.00659714,0.00659714
3,978.121,1.63854,3.11811,5.46538,1.72688,0.578,0.49342,0.49252,0.24411,0.55364,0.44286,0.41348,0.14923,1.90517,3.5222,6.33303,2.14278,0.00979851,0.00979851,0.00979851
4,1284.43,1.66948,3.15804,5.5014,1.76693,0.69179,0.58122,0.60913,0.33416,0.64297,0.51499,0.51477,0.21336,1.83624,3.1264,5.18537,2.13271,0.009703,0.009703,0.009703
5,1591.74,1.55669,2.92474,4.64481,1.67632,0.6459,0.63364,0.64483,0.35402,0.70017,0.51433,0.55001,0.2322,1.73583,3.08258,4.59278,2.03465,0.009604,0.009604,0.009604
6,1898.62,1.45043,2.71814,3.98245,1.59564,0.69272,0.64877,0.65311,0.37266,0.64305,0.59481,0.56872,0.25577,1.66505,2.96384,4.45205,1.96751,0.009505,0.009505,0.009505
7,2205.56,1.36873,2.5729,3.54985,1.53095,0.73722,0.67563,0.70324,0.38562,0.72978,0.57706,0.60946,0.26424,1.71469,2.96611,4.27196,2.0289,0.009406,0.009406,0.009406
8,2513.79,1.29944,2.43959,3.19555,1.47858,0.79095,0.62401,0.68148,0.3995,0.75413,0.58308,0.61646,0.27936,1.62977,2.79528,4.18662,1.92511,0.009307,0.009307,0.009307
9,2821.04,1.2392,2.32961,2.9183,1.4249,0.81262,0.64262,0.68481,0.40176,0.72416,0.56555,0.56305,0.26558,1.65015,2.89724,4.1838,1.9741,0.009208,0.009208,0.009208
10,3133.05,1.19043,2.22375,2.72382,1.39378,0.76391,0.6817,0.70897,0.41856,0.71646,0.5978,0.61288,0.29047,1.60372,2.78456,3.92668,1.95875,0.009109,0.009109,0.009109
11,3439.95,1.14411,2.1452,2.56149,1.35126,0.77633,0.67382,0.70534,0.4112,0.72292,0.62166,0.62826,0.29356,1.64352,2.8019,4.18098,1.99827,0.00901,0.00901,0.00901
12,3749.07,1.09733,2.0561,2.40359,1.3185,0.7575,0.65598,0.68091,0.3988,0.70761,0.60139,0.58955,0.27574,1.62864,2.8563,3.95649,1.99083,0.008911,0.008911,0.008911
13,4054.09,1.06383,2.00096,2.306,1.29382,0.74084,0.6778,0.68665,0.411,0.68207,0.62502,0.60105,0.2849,1.61442,2.81498,3.63533,1.9558,0.008812,0.008812,0.008812
14,4361.22,1.03994,1.94157,2.21586,1.27571,0.73332,0.71132,0.69984,0.40312,0.70413,0.60265,0.59106,0.27313,1.68229,2.93828,3.73328,2.04645,0.008713,0.008713,0.008713
15,4667.78,1.00541,1.87722,2.13733,1.25181,0.80715,0.64502,0.71088,0.42756,0.75034,0.58299,0.62303,0.29602,1.60418,2.93867,3.822,1.95407,0.008614,0.008614,0.008614
16,4976.42,0.97936,1.83908,2.06142,1.23431,0.79743,0.66744,0.70828,0.41853,0.71363,0.6096,0.60265,0.29233,1.62102,2.87953,3.76338,2.03304,0.008515,0.008515,0.008515
17,5286.86,0.96118,1.78298,1.97844,1.21827,0.81759,0.67052,0.72369,0.42135,0.75937,0.62555,0.6503,0.3087,1.64369,2.87837,3.81528,1.98902,0.008416,0.008416,0.008416
18,5595.1,0.9416,1.7475,1.92846,1.20278,0.81224,0.68306,0.71956,0.42328,0.73985,0.61544,0.6368,0.29792,1.6121,2.85601,3.74468,2.02018,0.008317,0.008317,0.008317
